Number of stations is:
500
nw stn lat lon:
SY AAJR  76.0758  -139.3920
SY AAJS  76.6036  -142.0464
SY AAJT  77.0997  -144.9137
SY AAJU  77.5603  -148.0037
SY AAJV  77.9814  -151.3226
SY AAJW  78.3586  -154.8712
SY AAJX  78.6877  -158.6433
SY AAJY  78.9642  -162.6241
SY AAJZ  79.1841  -166.7892
SY AAKA  79.3440  -171.1039
SY AAKB  79.4411  -175.5245
SY AAKC  79.4737  180.0000
SY AAKD  79.4411  175.5245
SY AAKE  79.3440  171.1039
SY AAKF  79.1841  166.7892
SY AAKG  78.9642  162.6241
SY AAKH  78.6877  158.6433
SY AAKI  78.3586  154.8712
SY AAKJ  77.9814  151.3226
SY AAKK  77.5603  148.0037
SY AAKL  77.0997  144.9137
SY AAKM  76.6036  142.0464
SY AAKN  76.0758  139.3920
SY AAKO  75.5199  136.9384
SY AAKP  74.7454  -139.7178
SY AAKQ  75.2707  -142.1338
SY AAKR  75.7674  -144.7255
SY AAKS  76.2322  -147.5003
SY AAKT  76.6617  -150.4634
SY AAKU  77.0526  -153.6162
SY AAKV  77.4012  -156.9559
SY AAKW  77.7038  -160.4743
SY AAKX  77.9571  -164.1566
SY AAKY  78.1578  -167.9815
SY AAKZ  78.3033  -171.9206
SY AALA  78.3915  -175.9397
SY AALB  78.4211  180.0000
SY AALC  78.3915  175.9397
SY AALD  78.3033  171.9206
SY AALE  78.1578  167.9815
SY AALF  77.9571  164.1566
SY AALG  77.7038  160.4743
SY AALH  77.4012  156.9559
SY AALI  77.0526  153.6162
SY AALJ  76.6617  150.4634
SY AALK  76.2322  147.5003
SY AALL  75.7674  144.7255
SY AALM  75.2707  142.1338
SY AALN  74.7454  139.7178
SY AALO  73.9399  -142.2296
SY AALP  74.4367  -144.5926
SY AALQ  74.9046  -147.1087
SY AALR  75.3408  -149.7821
SY AALS  75.7424  -152.6146
SY AALT  76.1064  -155.6050
SY AALU  76.4298  -158.7487
SY AALV  76.7096  -162.0366
SY AALW  76.9429  -165.4551
SY AALX  77.1273  -168.9858
SY AALY  77.2607  -172.6054
SY AALZ  77.3414  -176.2868
SY AAMA  77.3684  180.0000
SY AAMB  77.3414  176.2868
SY AAMC  77.2607  172.6054
SY AAMD  77.1273  168.9858
SY AAME  76.9429  165.4551
SY AAMF  76.7096  162.0366
SY AAMG  76.4298  158.7487
SY AAMH  76.1064  155.6050
SY AAMI  75.7424  152.6146
SY AAMJ  75.3408  149.7821
SY AAMK  74.9046  147.1087
SY AAML  74.4367  144.5926
SY AAMM  73.9399  142.2296
SY AAMN  73.1078  -144.5040
SY AAMO  73.5781  -146.8038
SY AAMP  74.0196  -149.2369
SY AAMQ  74.4297  -151.8050
SY AAMR  74.8062  -154.5080
SY AAMS  75.1462  -157.3432
